Label,Primary Evidence Indexes,Secondary Evidence Indexes
Contradiction,"Inclusion Criteria:   Female 20 years and pre-menopausal.Pre-menopausal defined as 1) last menses within 1 year of randomisation, and 2) E2 10 pg/mL and FSH  30 mIU/mL within 4 weeks of randomisation.",nan
Neutral,"Outcome Measurement:    Percentage of Participants With At Least 1 Adverse Event (AE) During the Treatment Period   Participants were planned to receive a total of 18 cycles of SC Herceptin. An AE was defined as any untoward medical occurrence in a participant administered SC Herceptin. Examples included unfavorable/unintended signs and symptoms, new or exacerbated disease, recurrence of intermittent condition, deterioration in laboratory value or other clinical test, or adverse procedure-related events. The percentage of participants with at least 1 AE during the treatment period (regardless of severity or seriousness) was reported.   Time frame: From Day 1 up to 19 cycles (cycle length 3 weeks) (approximately 1 year) Results 1:    Arm/Group Title: Cohort A: SC Herceptin by Needle/Syringe   Arm/Group Description: Participants received SC Herceptin by an assisted administration as 600 mg every 3 weeks for a total of 18 doses/cycles. Each dose of SC Herceptin was taken from a single-use vial and injected by needle/syringe.   Overall Number of Participants Analyzed: 1864   Measure Type: Number   Unit of Measure: percentage of participants  88.6 Results 2:    Arm/Group Title: Cohort B: SC Herceptin by SID   Arm/Group Description: Participants received SC Herceptin as 600 mg every 3 weeks for a total of 18 doses/cycles. Each dose of SC Herceptin was administered from a pre-filled SID. The first administration was performed by an HCP. Subsequent doses were self-administered by participants who were willing and judged competent by the HCP.   Overall Number of Participants Analyzed: 709   Measure Type: Number   Unit of Measure: percentage of participants  89.0",nan
Entailment,Adverse Events 1:   Total: 3/9 (33.33%)   Fatigue * 1/9 (11.11%)   Non-cardiac chest pain * 1/9 (11.11%)   Sepsis * 1/9 (11.11%)   Urinary tract infection * 1/9 (11.11%)   Syncope * 1/9 (11.11%)   Anxiety * 1/9 (11.11%)   Thromboembolic event * 1/9 (11.11%),nan
Contradiction,"Outcome Measurement:    Percentage of Participants by Preferred Method of Drug Administration   The preferred method of drug administration (IV or SC Herceptin) was assessed in trial-specific telephone interviews with each study participant. Participants were asked, ""All things considered, which method of administration did you prefer?"" at the end of the crossover period (Week 24). The percentage of participants who preferred each method of drug administration was reported.   Time frame: Week 24 Results 1:    Arm/Group Title: Cohort 1: SC (SID) Then IV Herceptin   Arm/Group Description: Participants received Herceptin on Day 1 of each 3-week cycle for 18 cycles. During Cycles 1 to 4 of the crossover period, SC Herceptin was administered via SID, and during Cycles 5 to 8, IV Herceptin was given. In the continuation period, participants received IV Herceptin for up to 10 remaining cycles. Administration was performed by HCP. Those with at least 2 treatment cycles remaining of the 18-cycle treatment course after the crossover period were offered the opportunity to self-administer SC Herceptin via SID under the direction of a trained HCP. The SC dose was 600 mg for all cycles where SC Herceptin was given, and the IV dose was 6 mg/kg for all cycles where IV Herceptin was given.   Overall Number of Participants Analyzed: 117   Measure Type: Number   Unit of Measure: percentage of participants  SC Herceptin: 95.7   IV Herceptin: 4.3   No Preference: 0.0",nan
Entailment,INTERVENTION 1:    Triptorelin Plus Tamoxifen   Determination of estrogen levels in blood samples from patients being treated with triptorelin plus tamoxifen for 5 years. INTERVENTION 2:    Triptorelin Plus Exemestane   Determination of estrogen levels in blood samples from patients being treated with triptorelin plus exemestane for 5 years.,"INTERVENTION 1:    LBH589 With Capecitabine   MTD, LBH589 with Capecitabine   LBH589: LBH589 will be evaluated when administered twice weekly at the following possible dose levels: 20 mg, 30 mg, 45 mg, and 60 mg. Capecitabine will be paired with LBH589 and will range in dose from 825 mg/m2 to 1250 mg/m2 orally BID 14 of every 21 days. Treatment cycles will be 21 days in length. Once determined safe, 10 additional patients will be treated at the determined MTD to further assess safety.   Capecitabine: Capecitabine will be administered orally twice daily for 14 days out of every 21 days. INTERVENTION 2:    LBH589 and Lapatinib   LBH589 and Lapatinib   LBH589: LBH589 will be evaluated when administered twice weekly at the following possible dose levels: 20 mg, 30 mg, 45 mg, and 60 mg. Capecitabine will be paired with LBH589 and will range in dose from 825 mg/m2 to 1250 mg/m2 orally BID 14 of every 21 days. Treatment cycles will be 21 days in length. Once determined safe, 10 additional patients will be treated at the determined MTD to further assess safety.   Lapatinib: Lapatinib, 1000 mg PO daily will be added to this combination."
Entailment,Adverse Events 1:   Total: 3/41 (7.32%),Adverse Events 1:   Total: 146/573 (25.48%)
Entailment,Adverse Events 1:   Total: 15/52 (28.85%),Adverse Events 1:   Total: 2/7 (28.57%)
Entailment,Adverse Events 1:   Total: 3/8 (37.50%)   Anaemia 0/8 (0.00%)   Febrile neutropenia 0/8 (0.00%)   Polycythaemia 0/8 (0.00%)   Acute coronary syndrome 0/8 (0.00%)   Vertigo 0/8 (0.00%)   Eyelid oedema 1/8 (12.50%)   Constipation 0/8 (0.00%)   Diarrhoea 0/8 (0.00%)   Nausea 0/8 (0.00%)   Stomatitis 0/8 (0.00%)   Upper gastrointestinal haemorrhage 0/8 (0.00%)   Vomiting 0/8 (0.00%)   Chest pain 0/8 (0.00%) Adverse Events 2:   Total: 2/6 (33.33%)   Anaemia 0/6 (0.00%)   Febrile neutropenia 0/6 (0.00%)   Polycythaemia 0/6 (0.00%)   Acute coronary syndrome 0/6 (0.00%)   Vertigo 0/6 (0.00%)   Eyelid oedema 0/6 (0.00%)   Constipation 0/6 (0.00%)   Diarrhoea 0/6 (0.00%)   Nausea 0/6 (0.00%)   Stomatitis 0/6 (0.00%)   Upper gastrointestinal haemorrhage 0/6 (0.00%)   Vomiting 0/6 (0.00%)   Chest pain 1/6 (16.67%),nan
Contradiction,"INTERVENTION 1:    Treatment (Neoadjuvant Chemotherapy Before Surgery)   Patients receive neoadjuvant chemotherapy comprising sunitinib malate PO once daily and paclitaxel IV over 1 hour once weekly for 8-12 weeks in the absence of disease progression or unacceptable toxicity. Beginning within 3 weeks of completion of sunitinib malate and paclitaxel, patients receive doxorubicin IV once weekly for 15 weeks, cyclophosphamide PO once daily for 15 weeks, and filgrastim SC on days 2-7 for 16 weeks in the absence of disease progression or unacceptable toxicity. Beginning 3-6 weeks after completion of chemotherapy, patients undergo surgery.   sunitinib malate: Given PO   paclitaxel: Given IV   doxorubicin hydrochloride: Given IV   cyclophosphamide: Given PO   filgrastim: Given SC   therapeutic conventional surgery: Undergo surgery   laboratory biomarker analysis: Correlative studies   flow cytometry: Correlative studies",nan
Contradiction,"INTERVENTION 1:    Manual Lymph Drainage   Manual lymph drainage (MLD) treatment 3 times a week for 4 weeks to the lymphedematous upper limb   Manual Lymph Drainage (MLD): MLD is a practitioner-applied manual massage technique designed to decrease limb volume in patients with lymphedema by enhancing movement of lymph fluid, resulting in reductions in interstitial fluid. INTERVENTION 2:    Negative Pressure   PhysioTouch (negative pressure massage) treatment 3 times a week for 4 weeks to the lymphedematous upper limb   PhysioTouch: The PhysioTouch is a hand-held device that administers negative pressure under the treatment head, and gently pulls the underlying skin and subcutaneous tissue into the suction cup. This suction produces a stretch to the skin and in the subcutaneous tissue space. This action is thought to facilitate lymphatic flow from the interstitium into the lymphatic vessels, and mobilizes the superficial fascia.",INTERVENTION 1:    No Exercise   Multivitamin Arm + Calcitriol Arm:Calcitriol pill taken once per week INTERVENTION 2:    Exercise   Exercise Arm: Exercise consisting of progressive walking and resistance band training   Calcitriol+ Exercise Arm: Calcitriol pill taken once per week + Exercise
Contradiction,"Outcome Measurement:    Objective Response Rate   Patient response rates will be measured by the Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.1) for target lesions and assessed by MRI. Responses include the following: Complete Response (CR) disappearance of all target lesions; Partial Response (PR) at least a 30% decrease in the sum of the longest diameter of target lesions; Overall Response (OR) best response from the start of treatment until disease progression.   Time frame: Baseline to 6 months Results 1:    Arm/Group Title: Abraxane + Tigatuzumab   Arm/Group Description: Patients will receive Abraxane at 100 mg/m2 X 3 doses on Days 1, 8, and 15 at 28-day intervals and tigatuzumab to be administered as a 10 mg/kg loading dose followed by 5 mg/kg for the first cycle and then every other week on Days 1 and 15 for subsequent cycles. Patients will be evaluated for response every 8 weeks. Patients with disease progression will be taken off the study.   Overall Number of Participants Analyzed: 39   Measure Type: Number   Unit of Measure: percentage of patients  28        (14.9 to 45.0) Results 2:    Arm/Group Title: Abraxane Alone   Arm/Group Description: Patients will receive Abraxane at 100 mg/m2 weekly X 3 doses on Days 1, 8, and 15 at 28-day intervals. Abraxane will be administered on an outpatient basis by an IV infusion over 30 minutes. Patients will be evaluated for response every 2 cycles (every 8 weeks).   Overall Number of Participants Analyzed: 21   Measure Type: Number   Unit of Measure: percentage of patients  38        (18 to 61.1)",nan
Entailment,Adverse Events 1:   Total: 78/284 (27.46%)   Febrile neutropenia * 28/284 (9.86%)   Neutropenia * 217/284 (5.99%)   Leukopenia * 23/284 (1.06%)   Anaemia * 22/284 (0.70%)   Thrombocytopenia * 20/284 (0.00%)   Myocardial infarction * 20/284 (0.00%)   Arrhythmia * 21/284 (0.35%)   Atrial fibrillation * 1/284 (0.35%)   Coronary artery disease * 20/284 (0.00%)   Left ventricular dysfunction * 21/284 (0.35%) Adverse Events 2:   Total: 7/92 (7.61%)   Febrile neutropenia * 0/92 (0.00%)   Neutropenia * 20/92 (0.00%)   Leukopenia * 20/92 (0.00%)   Anaemia * 20/92 (0.00%)   Thrombocytopenia * 20/92 (0.00%)   Myocardial infarction * 20/92 (0.00%)   Arrhythmia * 20/92 (0.00%)   Atrial fibrillation * 0/92 (0.00%)   Coronary artery disease * 20/92 (0.00%)   Left ventricular dysfunction * 20/92 (0.00%),nan
Entailment,INTERVENTION 1:    Lapatinib Monotherapy   Lapatinib: 1500 mg (six 250 mg tablets) orally once daily,nan
Entailment,Adverse Events 1:   Total: 52/133 (39.10%)   Thrombocytopenia 2/133 (1.50%)   Anaemia 1/133 (0.75%)   Disseminated intravascular coagulation 0/133 (0.00%)   Atrial thrombosis 1/133 (0.75%)   Cardiac failure 0/133 (0.00%)   Vertigo 0/133 (0.00%)   Vomiting 3/133 (2.26%)   Nausea 1/133 (0.75%)   Colitis 1/133 (0.75%)   Constipation 1/133 (0.75%)   Enteritis 0/133 (0.00%)   Abdominal pain 0/133 (0.00%) Adverse Events 2:   Total: 16/67 (23.88%)   Thrombocytopenia 0/67 (0.00%)   Anaemia 0/67 (0.00%)   Disseminated intravascular coagulation 1/67 (1.49%)   Atrial thrombosis 0/67 (0.00%)   Cardiac failure 1/67 (1.49%)   Vertigo 1/67 (1.49%)   Vomiting 0/67 (0.00%)   Nausea 1/67 (1.49%)   Colitis 0/67 (0.00%)   Constipation 0/67 (0.00%)   Enteritis 1/67 (1.49%)   Abdominal pain 2/67 (2.99%),nan
Entailment,Inclusion Criteria:   Tumor must be confined to either the breast or to the breast and ipsilateral axilla (Note: patinets with multifocal/multicentric tumors are eligible). Patient must have (according to TNM 7th edition rules):   Either clinically positive (N1 only) or clinically negative axillary nodes (N0),nan
Contradiction,"Outcome Measurement:    Progression Free Survival   [Not Specified]   Time frame: From the date of randomization to date of first documented disease progression (i.e., the date on which a radiologic procedure or clinical evaluation was performed) or the date of death due to any cause, if before progression, assessed up to 39 months. Results 1:    Arm/Group Title: A (Sorafenib + Gemcitabine or Capecitabine)   Arm/Group Description: Sorafenib will be administered (400 mg; 2 tablets x 200 mg) orally twice daily (approximately every 12 hours); Gemcitabine will be administered 1000 mg/m2 pm Days 1 and 8 of a 21 day cycle; Capecitabine will be administered orally at a dose of 1,000 mg/m2 twice daily, within 30 minutes after a meal, for 14 days followed by a 7 day rest period (without capecitabine)   Gemcitabine: Gemcitabine will be administered 1000 mg/m2 pm Days 1 and 8 of a 21 day cycle   Sorafenib: Sorafenib will be administered (400 mg; 2 tablets x 200 mg) orally twice daily (approximately every 12 hours)   Capecitabine: Capecitabine will be administered orally at a dose of 1,000 mg/m2 twice daily, within 30 minutes after a meal, for 14 days followed by a 7 day rest period (without capecitabine).   Overall Number of Participants Analyzed: 81   Median (95% Confidence Interval)   Unit of Measure: Days  103        (83 to 128) Results 2:    Arm/Group Title: B (Placebo + Gemcitabine or Capecitabine)   Arm/Group Description: Placebo will be administered ( 2 tablets ) orally twice daily (approximately every 12 hours); Gemcitabine will be administered 1000 mg/m2 pm Days 1 and 8 of a 21 day cycle; Capecitabine will be administered orally at a dose of 1,000 mg/m2 twice daily, within 30 minutes after a meal, for 14 days followed by a 7 day rest period (without capecitabine)   Gemcitabine: Gemcitabine will be administered 1000 mg/m2 pm Days 1 and 8 of a 21 day cycle   Placebo: Placebo will be administered (400 mg; 2 tablets x 200 mg) orally twice daily (approximately every 12 hours)   Capecitabine: Capecitabine will be administered orally at a dose of 1,000 mg/m2 twice daily, within 30 minutes after a meal, for 14 days followed by a 7 day rest period (without capecitabine).   Overall Number of Participants Analyzed: 79   Median (95% Confidence Interval)   Unit of Measure: Days  81        (48 to 95)",nan
Contradiction,Outcome Measurement:    Percent Change From Baseline in Lumbar Spine (L1-L4) Bone Mineral Density (BMD)   Bone mineral density (BMD) measurements were assessed by dual energy x-ray absorptiometry (DXA). The DXA devices of participating sites were cross-calibrated and the DXA results were compiled and analyzed by a central reader. Percent change ,nan
Entailment,"Outcome Measurement:    Phase 1: Number of Subjects Reporting Dose-Limiting Toxicities (DLTs)   DLTs are defined as: Any treatment-related Grade  3 non-hematologic clinical (non-laboratory) AE Any treatment-related Grade 3 or Grade 4 non-hematologic lab abnormality if: - Medical intervention is required to treat the patient, or - The abnormality leads to hospitalization, or - The abnormality persists for  7 days. Any treatment-related hematologic toxicity specifically defined as: - Thrombocytopenia Grade 4 for  7 days, or Grade 3 or Grade 4 associated with bleeding or requiring platelet transfusion; - Neutropenia Grade 4 for  7 days, or Grade 3 or 4 associated with infection or febrile neutropenia; - Anemia Grade 4, or Grade 3 or 4 requiring blood transfusion. Any treatment-related AE leading to niraparib dose interruption per the following criteria: - A dose interruption for a non-DLT lab abnormality lasting  14 days. - A dose in interruption per dose modification rules for nonhematologic AE leading to < 80% of an intended dose being administered.   Time frame: During Cycle 1, ie, during the first 21 days of treatment Results 1:    Arm/Group Title: Phase 1: Niraparib 200mg + Pembrolizumab   Arm/Group Description: Niraparib 200 mg/day orally (PO). Pembrolizumab 200 mg intravenously (IV) on Day 1 of each 21-day cycle.   Overall Number of Participants Analyzed: 6   Measure Type: Count of Participants   Unit of Measure: Participants  1  16.7% Results 2:    Arm/Group Title: Phase 1: Niraparib 300mg + Pembrolizumab   Arm/Group Description: Niraparib 300 mg/day orally (PO). Pembrolizumamb 200 mg intravenously (IV) on Day 1 of each 21-day cycle.   Overall Number of Participants Analyzed: 6   Measure Type: Count of Participants   Unit of Measure: Participants  1  16.7%",nan
Contradiction,"Outcome Measurement:    Percentage of Participants With Overall Pathological Complete Response (pCR) After 26 Weeks of Therapy   A pCR in the breast was defined as no pathologic evidence of invasive disease (residual ductal carcinoma in situ [DCIS] or lobular carcinoma in situ [LCIS] was allowed). A pCR in the axillary lymph node(s) was defined as no evidence of breast cancer cells in the lymph node (including subcapsular sinus). Overall pCR was defined as the sum of pCR in the breast and pCR in the lymph nodes. 26 weeks of therapy comprised the 2-week run-in phase, 12 weeks of treatment with FEC, and 12 weeks of treatment with Paclitaxel.   Time frame: Week 26 Results 1:    Arm/Group Title: Trastuzumab   Arm/Group Description: Participants received trastuzumab alone (a loading dose of 4 milligrams [mg]/kilogram [kg] on Day 1, followed by a dose of 2 mg/kg on Day 1 of Week 2 and weekly thereafter). Participants were treated with trastuzumab in a 2-week run-in period. On Day 14, a second core needle biopsy was performed, followed by initiation of chemotherapy with 2 combination regimens of 4 cycles each (1 cycle=3 weeks): FEC75 (5-fluorouracil [5-FU] 500 mg/meters squared [m^2], epirubicin 75 mg/m^2, cyclophosphamide 500 mg/m^2 x 4 cycles on Day 1), then paclitaxel (80 mg/m^2 x 4 cycles on Day 1, Day 8, and Day 15) in combination with trastuzumab.   Overall Number of Participants Analyzed: 26   Measure Type: Number   Unit of Measure: percentage of participants  54.0 Results 2:    Arm/Group Title: Lapatinib   Arm/Group Description: Participants received lapatinib alone (1250 mg orally [PO] once daily [QD]). Participants were treated with lapatinib in a 2-week run-in period. On Day 14, a second core needle biopsy was performed, followed by initiation of chemotherapy with 2 combination regimens of 4 cycles each (1 cycle=3 weeks): FEC75 (5-FU 500 mg/m^2, epirubicin 75 mg/m^2, cyclophosphamide 500 mg/m^2 x 4 cycles on Day 1), then paclitaxel (80 mg/m^2 x 4 cycles on Day 1, Day 8, and Day 15) in combination with lapatinib.   Overall Number of Participants Analyzed: 29   Measure Type: Number   Unit of Measure: percentage of participants  45.0",nan
Contradiction,  No immediate reconstruction with autologous flap reconstruction   Patients having tissue expanders or implants placed prior to radiation may be enrolled at the physician's discretion,nan
Contradiction,Adverse Events 1:   Total: 31/185 (16.76%),nan
Contradiction,"Outcome Measurement:    Centrally Assessed Progression Free Survival   Progression Free Survival (PFS), Measured in Months, for Randomized Subjects of the Central Assessment. The time interval from the date of randomization until the first date on which recurrence, progression (per Response Evaluation Criteria in Solid Tumors Criteria (RECIST) v1.1), or death due to any cause, is documented. For subjects without recurrence, progression or death, it is censored at the last valid tumor assessment. Progression is defined using Response Evaluation Criteria in Solid Tumors Criteria (RECIST v1.1), as a 20% increase in the sum of the longest diameter of target lesions, or a measurable increase in a non-target lesion, or the appearance of new lesions. Here, the time to event was reported as the restricted mean survival time. The restricted mean survival time was defined as the area under the curve of the survival function up to 24 months.   Time frame: From randomization date to recurrence, progression or death, assessed up to 38 months. The result is based on primary analysis data cut. Results 1:    Arm/Group Title: Neratinib Plus Capecitabine   Arm/Group Description: neratinib 240 mg orally, once daily with food, continuously in 21 day cycles, and capecitabine 1500 mg/m^2 daily in 2 evenly divided doses, orally with water within 30 minutes after a meal, taken on days 1 to 14 of each 21 day cycle.   Overall Number of Participants Analyzed: 307   Mean (95% Confidence Interval)   Unit of Measure: months  8.8        (7.8 to 9.8) Results 2:    Arm/Group Title: Lapatinib Plus Capecitabine   Arm/Group Description: lapatinib 1250 mg orally, once daily, continuously in 21 day cycles, and capecitabine 2000 mg/m^2 daily in 2 evenly divided doses, orally with water within 30 minutes after a meal, taken on days 1 to 14 of each 21 day cycle.   Overall Number of Participants Analyzed: 314   Mean (95% Confidence Interval)   Unit of Measure: months  6.6        (5.9 to 7.4)",nan
Entailment,"Inclusion Criteria:   At least 18 years of age   Willing and able to provide informed consent   Reporting daily hot flashes   Able to read, write, and speak English   Postmenopausal to limit sample variability (> 12 months amenorrhea)   Greater then 1 month but < 5 years post-treatment (surgery, radiation, chemotherapy) for non-metastatic breast cancer.   These criteria allow inclusion of women successfully treated for recurrent breast cancer since there is no known reason to exclude them. Menopausal status is assessed using self-reports due to problems in reliably measuring follicle-stimulating hormone levels and estradiol in tamoxifen users. Exclusion Criteria:   Exclusion criteria are current depression, history of migraines or hepatitis, abnormal chemistry profile (e.g., sodium, potassium, glucose), or a positive urine drug screen for illegal substances.",nan
Contradiction,"Outcome Measurement:    Percentage of Participants With Total Pathological Complete Response (tpCR) Assessed Based on Tumor Samples   tpCR was assessed by local pathology review on samples taken at surgery following completion of neoadjuvant therapy. tpCR was defined as the absence of any residual invasive cancer on hematoxylin and eosin evaluation of the resected breast specimen and all sampled ipsilateral lymph nodes ( that is [i.e.], ypT0/is, ypN0 in the American Joint Committee on Cancer [AJCC] staging system, 7th edition). Percentage of participants with tpCR was reported.   Time frame: Pre-surgery (within 6 weeks after neoadjuvant therapy; up to approximately 6 months) Results 1:    Arm/Group Title: TCH + P   Arm/Group Description: Participants received pertuzumab 840 milligrams (mg) (loading dose) and 420 mg (maintenance dose) intravenous (IV) infusion, trastuzumab 8 milligrams per kilogram (mg/kg) (loading dose) and 6 mg/kg (maintenance dose) IV infusion, docetaxel 75 milligrams per square meter (mg/m^2) IV infusion and carboplatin at a dose to achieve an area under the curve (AUC) of 6 milligrams per milliliter* minute (mg/mL*min) IV infusion every 3 weeks (q3w) for 6 cycles in neoadjuvant period. Participants received pertuzumab 840 mg (loading dose) and 420 mg (maintenance dose) IV infusion followed by trastuzumab 8 mg/kg (loading dose) and 6 mg/kg (maintenance dose) IV infusion q3w for rest of the cycles (12 cycles) in adjuvant period (up to a total of 18 cycles).   Overall Number of Participants Analyzed: 221   Measure Type: Number   Unit of Measure: Percentage of Participants  56.1        (49.29 to 62.76)",nan
Contradiction,Adverse Events 1:   Total: 10/30 (33.33%)   Hemoglobin decreased 2/30 (6.67%)   Abdominal pain 1/30 (3.33%)   Colitis 1/30 (3.33%)   Diarrhea 7/30 (23.33%)   Nausea 2/30 (6.67%)   Rectal hemorrhage 1/30 (3.33%)   Fatigue 1/30 (3.33%)   Skin infection 1/30 (3.33%)   Neutrophil count decreased 1/30 (3.33%)   Platelet count decreased 3/30 (10.00%)   Dehydration 1/30 (3.33%),nan
Contradiction,Adverse Events 1:   Febrile neutropenia * 28/284 (9.86%) Adverse Events 2:   Febrile neutropenia * 0/92 (0.00%),nan
Contradiction,"Outcome Measurement:    Progression-free Survival (PFS)   PFS is defined as the number of months from the date of randomization to the earlier of progressive disease (PD) or death due to any cause.   Time frame: From date of randomization to discontinuation due to disease progression or death up to primary completion date (Median follow-up 6 months) Results 1:    Arm/Group Title: Exemestane 25 mg + Placebo   Arm/Group Description: Exemestane (Aromasin  ) 25 mg tablets orally once daily plus a placebo-matching entinostat tablet orally once per week on Days 1, 8, 15 and 22 of each 28-day treatment cycle until development of progressive disease (PD) or unacceptable toxicity or closure of the study by the Sponsor, whichever occurred first.   Overall Number of Participants Analyzed: 66   Median (95% Confidence Interval)   Unit of Measure: months  2.27        (1.81 to 3.68) Results 2:    Arm/Group Title: Exemestane 25 mg + Entinostat 5 mg   Arm/Group Description: Exemestane (Aromasin  ) 25 mg tablets orally once daily plus an entinostat 5 mg tablet orally once per week on Days 1, 8, 15 and 22 of each 28-day treatment cycle until development of progressive disease (PD) or unacceptable toxicity or closure of the study by the Sponsor, whichever occurred first.   Overall Number of Participants Analyzed: 64   Median (95% Confidence Interval)   Unit of Measure: months  4.28        (3.26 to 5.36)",nan
Contradiction,"Outcome Measurement:    Congestive Heart Failure Rate   Clinical congestive heart failure includes patients with symptomatic decline in LVEF to at or below the lower limit of normal (LLN), or symptomatic diastolic dysfunction. 223 treated patients were included in the analysis.   Time frame: assessed on day 1 of cycles 5, 9, 17 and 25, and at end of treatment, then every 3 months for <2 years and every 6 months for 2-3 years from study entry Results 1:    Arm/Group Title: Arm A (ddBAC > BT > B)   Arm/Group Description: Dose dense bevacizumab, cyclophosphamide and doxorubicin, followed by paclitaxel and bevacizumab, followed by bevacizumab   Overall Number of Participants Analyzed: 103   Measure Type: Number   Unit of Measure: percentage of participants  2.9        (0.6 to 8.3) Results 2:    Arm/Group Title: Arm B (ddAC > BT > B)   Arm/Group Description: Dose dense doxorubicin and cyclophosphamide, followed by paclitaxel and bevacizumab, followed by bevacizumab   Overall Number of Participants Analyzed: 120   Measure Type: Number   Unit of Measure: percentage of participants  2.5        (0.5 to 7.1)",nan
Entailment,Adverse Events 1:   Esophagitis * 1/48 (2.08%),nan
Contradiction,Inclusion Criteria:   Operable breast cancer Exclusion Criteria:   Inoperable breast cancer   BMI > 25   Neoadiuvant radioterapy   Carcinomastitis   Previous phlebitis of omolateral arm Collagen disease,Inclusion Criteria:   Written informed consent of the patient signed by herself.   Histologically confirmed metastatic or recurrent adenocarcinoma of the breast.   Aged 20 to 74 at the time of informed consent. Exclusion Criteria:   Prior systemic chemotherapy with taxane anticancer drugs for metastatic or recurrent breast cancer.
Entailment,"Exclusion Criteria:   Prior treatment with Abraxane®, carboplatin or bevacizumab, or any taxane for metastatic breast cancer;",nan
Entailment,"EXCLUSION CRITERIA:   History of parathyroid disease, hypercalcemia, or kidney stones.",nan
Contradiction,"Outcome Measurement:    Percentage Change in Bone Mineral Density (BMD) of the Lumbar Spine (L2-L4) at 12 Months of Therapy.   Bone Mineral Density (g/cm^2) of the Lumbar Spine (L2-L4) as measured by energy x-ray absorptiometry (DXA).   Time frame: Baseline, 12 months Results 1:    Arm/Group Title: Zoledronic Acid 4 mg Upfront   Arm/Group Description: Zolendronic acid 4 mg Intravenous (IV) 15 minute infusion every 6 months for 5 years beginning on Day 1. All participants took Letrozole tablets 2.5 mg/day for 5 years beginning on Day 1.   Overall Number of Participants Analyzed: 423   Mean (Standard Deviation)   Unit of Measure: Percentage change in BMD  2.208         (3.4194) Results 2:    Arm/Group Title: Zoledronic Acid 4 mg Delayed   Arm/Group Description: Zolendronic acid 4 mg Intravenous (IV) 15 minute infusion every 6 months beginning when one of the following occurred: BMD T-score <",nan
Contradiction,"Outcome Measurement:    Clinical Benefit Rate (Complete Response, Partial Response, or Stable Disease)   Response evaluation criteria in solid tumors (RECIST) criteria version 1.0 was used for response evaluation. Clinical benefit rate is defined as the proportion of subjects experiencing a complete response (CR), partial response (PR), or stable disease (SD) for at least 24 weeks.   Evaluation of target lesions: Complete Response (CR)-- Disappearance of all target lesions; Partial Response (PR)-- At least a 30% decrease in the sum of the LD of target lesions, taking as reference the baseline sum LD; Stable Disease (SD)-- Neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for PD, taking as reference the smallest sum LD since the treatment started;   Evaluation of non-target lesions: Complete Response (CR)-- Disappearance of all non-target lesions and normalization of tumor marker level; Incomplete Response/ Stable Disease (SD)-- Persistence of one or more non-target lesion(s) or/and maintenance of tumor marker level above the normal limits   Time frame: Up to 24 months Results 1:    Arm/Group Title: Treatment (Temsirolimus)   Arm/Group Description: Patients receive temsirolimus IV over 30 minutes on days 1, 8, 15, and 22. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.   Temsirolimus: Given IV   Overall Number of Participants Analyzed: 31   Measure Type: Number   Unit of Measure: percentage of participants  9.7",nan
Contradiction,Adverse Events 1:   Total: 10/76 (13.16%)   Sickle cell anaemia with crisis 1/76 (1.32%)   Diarrhoea 1/76 (1.32%)   Pyrexia 1/76 (1.32%)   Chest pain 1/76 (1.32%)   Complication associated with device 1/76 (1.32%)   General physical health deterioration 0/76 (0.00%)   Device related infection 2/76 (2.63%)   Pneumonia 1/76 (1.32%)   Atypical pneumonia 1/76 (1.32%)   Dehydration 1/76 (1.32%) Adverse Events 2:   Total: 3/75 (4.00%)   Sickle cell anaemia with crisis 0/75 (0.00%)   Diarrhoea 0/75 (0.00%)   Pyrexia 1/75 (1.33%)   Chest pain 0/75 (0.00%)   Complication associated with device 0/75 (0.00%)   General physical health deterioration 1/75 (1.33%)   Device related infection 0/75 (0.00%)   Pneumonia 1/75 (1.33%)   Atypical pneumonia 0/75 (0.00%)   Dehydration 0/75 (0.00%),Adverse Events 1:   Total: 16/56 (28.57%)   Pancytopenia 0/56 (0.00%)   Pericarditis 0/56 (0.00%)   Abdominal pain 1/56 (1.79%)   Anal fissure 1/56 (1.79%)   Ascites 1/56 (1.79%)   Constipation 0/56 (0.00%)   Diarrhoea 1/56 (1.79%)   Nausea 0/56 (0.00%)   Oesophageal pain 0/56 (0.00%)   Vomiting 0/56 (0.00%)   Disease progression 2/56 (3.57%)   Infusion related reaction 1/56 (1.79%)   Pain 0/56 (0.00%) Adverse Events 2:   Total: 11/37 (29.73%)   Pancytopenia 1/37 (2.70%)   Pericarditis 1/37 (2.70%)   Abdominal pain 2/37 (5.41%)   Anal fissure 0/37 (0.00%)   Ascites 0/37 (0.00%)   Constipation 1/37 (2.70%)   Diarrhoea 1/37 (2.70%)   Nausea 2/37 (5.41%)   Oesophageal pain 1/37 (2.70%)   Vomiting 2/37 (5.41%)   Disease progression 2/37 (5.41%)   Infusion related reaction 0/37 (0.00%)   Pain 1/37 (2.70%)
Entailment,Inclusion Criteria:   Women at any age with early stage breast cancer (stage I-II) and American Society of Anesthesiologists (ASA) score of I-II.,Inclusion Criteria:   Age 18 years
